Additional Features,Antivirus,Backlit Keyboard,Battery Backup,Battery Cell,Bluetooth,Brand,Brightness,Cache,Certification,Chipset,Clock Speed,Color,Color Gamut,Covered in Warranty,Dedicated Graphic Memory Capacity,Dedicated Graphic Memory Type,Dimensions,Disk Drive,Dock Port,Domestic Warranty,EMMC Storage Capacity,Ethernet,Expandable Memory,Expandable SSD Capacity,Face Recognition,Finger Print Sensor,Firewire Port,Graphic Processor,HDD Capacity,HDMI Port,Hardware Interface,Inbuilt 4G LTE,Included Software,Internal Mic,International Warranty,Keyboard,Laptop Bag,Lock Port,MS Office Provided,Memory Slots,Mic In,Model Name,Model Number,Multi Card Slot,NFC Support,Not Covered in Warranty,Number of Cores,OS Architecture,Operating System,Optane Memory,Other Accessories,Part Number,Pointer Device,Power Supply,Price,Processor Brand,Processor Generation,Processor Name,Processor Variant,RAM,RAM Frequency,RAM Type,RJ11,RJ45,RPM,Read/Write Speed,Recovery Options,Refresh Rate,S-video,SSD,SSD Capacity,Sales Package,Screen Resolution,Screen Size,Screen Type,Security Chip,Series,Sound Chip,Sound Properties,Speakers,Storage Type,Stylus Included,Suitable For,Supported Operating System,System Architecture,TGP,Touchscreen,Type,USB Port,VGA Port,Warranty Service Type,Warranty Summary,Web Camera,Weight,Wireless LAN,Wireless WAN
37 WHrs Li-ion Battery,,No,,2 cell,v4.1,ASUS VivoBook 15 Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) X515JA-BQ322WS Thin...,,4,,,1.2 GHz upto max turbo frequency at 3.4 Ghz,Transparent Silver,,Manufacturing Defects,,,360.2 x 234.9 x 19.9 mm,Not Available,,1 Year,,,,,,Yes,,Intel Integrated UHD,,1 x HDMI 1.4,,,Office Home and Student 2021,Built-in microphone,,Chiclet Keyboard with Num-key,,,Yes,,Yes,X515JA-BQ322WS,X515JA-BQ322WS,,,Physical Damage,2,64 bit,Windows 11 Home,,,90NB0SR2-M00R10|90NB0SR2-M01XB0,,45 W AC Adapter,"₹24,990",Intel,10th Gen,Core i3,1005G1,8 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 inch),"Full HD LED Backlit, IPS-level Panel, 250nits, 45% NTSC color gamut, Anti-glare display",,VivoBook 15,,SonicMaster Audio by ICEpower,Built-in Speaker,SSD,,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",Windows 11 Home,,,No,Thin and Light Laptop,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",,Onsite,1 Year Onsite Warranty,VGA camera,1.80 kg,Wi-Fi 5(802.11ac),
51 Wh Li-ion polymer battery,,Yes,,3 Cell,v5.3,HP Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) 15-ew0047TU Thin and Light Laptop,,12 MB,,,3.50 GHz Upto 4.7 GHz,Nightfall Black,,Manufacturing Defects,,,357 x 236 x 18.4mm,Not Available,,1 Year,,,,,,,,Intel Integrated Iris Xe,,1 x HDMI 2.1,,,,Built-in Dual Array Digital Microphones,,"Full-size, backlit, nightfall black Keyboard",,,Yes,,Yes,15-ew0047TU,15-ew0047TU,,,Physical Damage,10,64 bit,Windows 11 Home,,,7F693PA#ACJ,,200 W Smart PFC Slim Adapter,"₹1,03,990",Intel,12th Gen,Core i7,1255U,16 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),"FHD, OLED, multitouch-enabled, UWVA, edge-to-edge glass, micro-edge, Low Blue Light, SDR Brightness: 400 nits, HDR Brightness: 500 nits, 141 ppi, Color Gamut: 100% DCI-P3",,,,,Built-in Dual Speakers,SSD,,Processing & Multitasking,Windows 11 Home,64 Bit,,Yes,Thin and Light Laptop,"2 x Thunderbolt 4 with USB4 Type-C 40Gbps signaling rate, 1 x SuperSpeed USB Type-A 10Gbps signaling rate",,Onsite,1 Year Onsite Warranty,HP True Vision 5MP IR camera with camera shutter,1.70 Kg,Intel Wi-Fi 6E AX211 (2x2),
,,,UPTO 6 HRS,,YES,DELL Inspiron 5430 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) IN54308TR2G001ORS1 Thin...,,,,,,Platinum Silver,,Manufacturing Defects,,,,Not Available,,1 Year,,,,,,,,Intel Integrated Intel Iris Xe Graphics,,,,,,,,,,,Yes,,,Inspiron 5430,IN54308TR2G001ORS1,,,Physical Damage,,64 bit,Windows 11 Home,,,IN54308TR2G001ORS1,,,"₹61,990",Intel,13th Gen,Core i5,,16 GB,,LPDDR5,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 X 1080$$Pixels pixel,35.56 cm (14 inch),,,Inspiron 5430,,,,SSD,,Travel & Business,Windows 11,,,No,Thin and Light Laptop,,,Onsite,1-year warranty,,,,
,,,,,v5.2,Lenovo IdeaPad 5 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH9 2 in 1 Lapt...,,,,,Base frequency 1.4 GHz upto Max Turbo Frequency 4.6 GHz,Luna Grey,,Manufacturing Defects,,,313 x 227 x 17.5 mm,Not Available,,,,,,,,,,Intel Integrated UHD,,,,,,Yes,,"Backlit, English",,,Yes,,,14IRH9,14IRH9,,,Physical Damage,,,Windows 11 Home,,,83KX0018IN,,,"₹72,490",Intel,13th Gen,Core i5,13420H,16 GB,,LPDDR5X,,,,,,,,Yes,512 GB,"Laptop, Lenovo Digital Pen 2, Power Adaptor, User Guide, Warranty Documents",1920 x 1200 Pixel,35.56 cm (14 Inch),"WUXGA, IPS 300nits Glossy, 45% NTSC, 60Hz, TÜV Low Blue Light, Glass, Touch",,IdeaPad 5,,,Yes,SSD,,Processing & Multitasking,,,,Yes,2 in 1 Laptop,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), 1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On 2 x USB-C (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.1 and DisplayPort 1.4",,Carry-in,1 Year Carry-in Warranty,FHD 1080p with Privacy Shutter,1.6 Kg,"Wi-Fi 6, 802.11ax 2x2",
"3-cell, 41 Wh Li-ion, Support battery fast charge",,Yes,,3 Cell,v5.2,HP Pavilion Eyesafe Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) EG2036TU Thin an...,,12 MB,,,Max Turbo Frequency Upto 4.4 GHz,Natural Silver,,Manufacturing Defects,,,360 x 234 x 17.9 mm,Not Available,,1 Year,,,,,,Yes,,Intel Integrated Iris Xe,,1 x HDMI 2.1,PCIe NVMe M.2,,Microsoft Office Home & Student 2021,Integrated Dual Array Digital Microphones,,"Full Size, Backlit, Natural Silver keyboard with Numeric Keypad",,,Yes,,Yes,EG2036TU,EG2036TU,,,Physical Damage,12,64 bit,Windows 11 Home,,,6D4K8PA,HP Imagepad with multi-touch gesture support,,"₹73,990",Intel,12th Gen,Core i5,1240P,16 GB,,DDR4,,,3200,,,,,Yes,512 GB,"Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",1920 x 1080 PIxel,39.62 cm (15.6 inch),"Full HD, IPS, Micro Edge, Anti Glare, Low Blue Light, Brightness: 300 nits, 141 ppi, Color Gamut: 100%sRGB, TUV Certified EyeSafe Display","Energy Star Certified, EPEAT Silver Registered",Pavilion Eyesafe,,Audio by B&O,Built-in Dual Speaker,SSD,,Processing & Multitasking,Windows 11 Home,64 Bit,,No,Thin and Light Laptop,"1 x SuperSpeed USB Type-C 10 Gbps Signaling Rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x SuperSpeed USB Type-A 5 Gbps Signaling Rate",,Onsite,1 Year Onsite Warranty,HP Wide Vision 720p HD camera,1.75 kg,MediaTek Wi-Fi Certified 6 MT7921 (2 x 2),
,,Yes,,3 cell,v5.2,MSI Modern 14 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C13M-436IN T...,,,,,Base frequency 0.9 GHz upto Max Turbo Frequency 4.6 GHz,Classic Black,,Part Failure,,,319.9 x 223 x 19.35 mm,Not Available,,1 Year,,,,,,,,Intel Integrated Iris Xe,,1 x HDMI,,,,Yes,,Single backlight Keyboard(White),,,No,,,Modern 14 C13M-436IN,Modern 14 C13M-436IN,,,"Physical Damage, Burn, Liquid Spill",,,Windows 11 Home,,,9S7-14J112-436,,65W adapter,"₹45,890",Intel,13th Gen,Core i5,1335U,16 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power adapter",1920 x 1080 Pixel,35.56 cm (14 Inch),"Full HD, 60Hz 45%NTSC IPS-Level",,Modern 14,,,Built-in Speakers,SSD,,"Processing & Multitasking, Entertainment",,,,No,Thin and Light Laptop,"1 x Type-C (USB3.2 Gen2 / DP) with PD charging, 1 x Type-A USB3.2 Gen2, 2 x Type-A USB2.0",,Carry-in,1 Year Carry-in Warranty,HD type (30fps@728p),1.4 Kg,Intel Wi-Fi 6 AX201(2*2 ax),
Integrated 42Wh Battery,,,Upto 9.5 hr,,v5.0,Lenovo IdeaPad 1 AMD Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) 15ADA7 Thin and Light...,,6,,AMD SoC Platform,3.7,Cloud Grey,,Manufacturing Defects,,DDR4,360.2 x 236 x 17.9 mm,Not Available,,1 Year,,,,,,,,AMD Radeon Vega 8 Graphics,,1x HDMI 1.4b,PCIe NVMe,,,Dual Array Microphone,,"Non-backlit, English",,,Yes,,Yes,15ADA7,15ADA7,1x Card reader,,Physical Damage,4,64 bit,Windows 11 Home,,,82R1004AIN,,65W Round Tip (3-pin),"₹44,490",AMD,,Ryzen 5 Quad Core,3500U,8 GB,2400 MHz,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),"FHD, TN 220nits Anti-glare",Firmware TPM 2.0,IdeaPad 1,High Definition (HD) Audio,,Dual Stereo Speakers,SSD,,Processing & Multitasking,Windows 11 Home,64,,No,Thin and Light Laptop,"1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C® 3.2 Gen 1 (support data transfer only)",,Onsite,2 Years Onsite�Warranty,HD 720p with Privacy Shutter,1.6 Kg,"11ac, 2x2",
,,,Upto 12.8 Hours,3 Cell,v5.0,Lenovo ThinkPad E14 AMD Ryzen 5 Hexa Core 5600U - (8 GB/512 GB SSD/Windows 11 Home) E14 AMD Gen3 Busin...,,16MB,,,2.3 GHz with Turbo Boost Upto 4.2 GHz,Black,,Manufacturing Defects,,,324 x 220.7 x 20.9 mm,Not Available,,1 Year,,,,,,Yes,,AMD Radeon AMD,,1 x HDMI 1.4b,,,,,,Backlit English Keyboard,,,No,,,E14 Gen 3,E14 AMD Gen3,,,Physical Damage,,64 bit,Windows 11 Home,,,20YES00200,,65W USB-C (3-pin) AC adapter,"₹46,540",AMD,,Ryzen 5 Hexa Core,5600U,8 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,35.56 cm (14 inch),Full HD TN LED Anti-glare Display,,ThinkPad E14,,,,SSD,,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",Windows 11 Home,,,No,Business Laptop,"1 x USB 2.0, 1 x USB 3.2 Gen 1 (Always On), 1 x USB-C 3.2 Gen 1",,Onsite,1 Year Onsite Warranty,"720p, with privacy shutter, fixed focus",1.69 kg,Realtek RTL8822CE,
,,,5-6 hour,,yes,AXL Intel Celeron Dual Core 9th Gen - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Lapto...,,,,,,Space Grey,,Manufacturing defects,,,,Not Available,,,,,,,,,,Intel Integrated,,,,,,,,,,,No,,,AXL Vayu Book,15W_LAP02,,,Any kind of physical damage including electrical surge. No software coverage in warranty,,,Windows 11 Home,,,15W_LAP02,,,"₹16,990",Intel,9th Gen,Celeron Dual Core,,4 GB,,DDR4,,,,,,,,Yes,256 GB,"1 Unit Laptop, 1 Unit Adaptor",1920*1080 pixel,39.62 cm (15.6 inch),,,,,,,SSD,,"Everyday Use, Entertainment, Learning, Performance, Travel & Business, Processing & Multitasking",,,,No,Thin and Light Laptop,,,On site,1 Year,,,,
,,,upto 4 hours,,5.2,Acer Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) AL15-51 Laptop,,,,,,Steel Gray,,Manufacturing Warranty,,,,Not Available,,,,,,,,,,Intel Integrated Intel,,,,,,,,,,,No,,,Aspire Lite,AL15-51,,,Physical Damage,,,Windows 11 Home,,,UN.431SI.289,,,"₹41,990",Intel,11th Gen,Core i5,,8 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Adapter",1920x1080 pixel,39.62 cm (15.6 inch),,,,,,,SSD,,Processing & Multitasking,,,,No,Laptop,,,Onsite,1 year,,,,
,,Yes,,3 Cell,v5.1,Acer Aspire 5 15 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) A515-58M Thin and Li...,,,,,Max Turbo Frequency up to 4.6 GHz,Steel Gray,,Manufacturing Defects,,,,Not Available,,,,,,,,No,,Intel Integrated Iris Xe,,,,,,,,"99-/100-/103-key Acer backlit keyboard with international language support, with indicators of CapsLock and F4/Microphone mute",,,Yes,,,A515-58M,A515-58M,,,Physical Damage,,,Windows 11 Home,,,NX.KHFSI.001,,65 W AC adapter,"₹67,999",Intel,13th Gen,Core i5,1335U,8 GB,,LPDDR5,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),,,Aspire 5 15,,,Yes,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"1 x USB Type-C / Thunderbolt 4 port, 1 x USB port with power-off charging, 1 x USB 3.2 port",,Onsite,1 Year Onsite Warranty,T-Type USB FHD camera with 1920 x 1080 resolution and 1080p HD video at 60 fps with Temporal Noise Reduction,1.75 Kg,Wi-Fi 6E,
,,,Upto 10 Hours,,Yes,MICROSOFT Surface Pro (11th Edition) AI PC Qualcomm Snapdragon X Elite - (16 GB/512 GB SSD/Windows 11 ...,,,,,,Platinum,,Software & Hardware Only,,,287 x 208 x 9.3 mm,Not Available,,,,,,,,,,Qualcomm Snapdragon X Elite - X1E80100 - Qualcomm Adreno GPU (12 Core),,,,,,Dual Studio Mics with Voice Focus,,,,,No,,,ZIA-00014,ZIA-00014,,,Physical Damage,,,Windows 11 Home,,,ZIA-00014,,,"₹1,61,990",Qualcomm,,Snapdragon X Elite,,16 GB,,LPDDR5X,,,,,,,,Yes,512 GB,"Laptop, Power Supply, Quick Start Guide, Safety and Warranty Documents",2880 x 1920 Pixel,33.02 cm (13 Inch),OLED PixelSense TM Touchscreen,,Surface Pro (11th Edition) AI PC,,,2W stereo speakers with Dolby Atmos,SSD,,Processing & Multitasking,,,,Yes,2 in 1 Laptop,2 X USB-C with USB 4,,Onsite,1 Year Onsite Warranty,"Front Camera - 12MP, 1440p@30 fps (QHD) video & 10MP, 4K@30 fps Video Resolution",0.895 Kg,Wi-Fi 7,
52.5 Wh Li-ion Battery,,Yes,,,v5.3,HP Victus 15 AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,,,,,3.2GHz upto 4.4 GHz,Sapphire Blue,,Manufacturing Defects,4 GB,GDDR6,357.9 x 239.7 x 22.5 mm,Not Available,,1 Year,,,,,,,,NVIDIA GeForce RTX 3050,,,,,,Built-in Dual Array Digital Microphones,,"Full-size, backlit, performance blue keyboard with numeric keypad",,,Yes,,,15-fb0107AX,15-fb0107AX,,,Physical Damage,8,,Windows 11 Home,,,7K4W9PA#ACJ,,,"₹74,990",AMD,,Ryzen 7 Octa Core,5800H,16 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),"Full HD, 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",,Victus 15,,,Build-in Dual speakers,SSD,,"Gaming, Entertainment, Everyday Use, Learning, Performance, Processing & Multitasking, Travel & Business",,,,No,Gaming Laptop,"1 x USB Type C 5Gbps signaling rate, 1 x USB Type A 5Gbps signaling rate, 1 x Type A 5Gbps signaling rate",,Onsite,1 Year Onsite Warranty,HP Wide Vision 720p HD camera,2.37 kg,MediaTek Wi-Fi 6E MT7922 (2x2),
,,No,Upto 9 Hours,,v5.0,Lenovo Intel Core i3 10th Gen 10110U - (8 GB/1 TB HDD/Windows 11 Home) 81WB018UIN | 81WB01E7IN Thin an...,,4,,,2.1 GHz with Turbo Boost Upto 4.1 GHz,Platinum Grey,,Manufacturer’s warranty against faulty workmanship or defective parts,,,362.2 x 253.4 x 19.9,Not Available,,2 Year,,,Upto 12 GB,,,No,,Intel Integrated UHD,1 TB,1 x HDMI 1.4b,PCIe NVMe,,Office Home and Student 2021,Built-in Dual Array Microphones,,Non Backlit Keyboard,,,Yes,2,Yes,,81WB018UIN | 81WB01E7IN,1 x Card Reader,,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,2,64 bit,Windows 11 Home,,,0196118455037 | 0196379247624,Touchpad,"45W Round Tip (2-pin, Wall-mount)","₹34,939",Intel,10th Gen,Core i3,10110U,8 GB,,DDR4,,,,,,,,No,,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixels,39.62 cm (15.6 inch),Full HD TN 220nits Anti-glare Display,Firmware TPM 2.0,,,,"1.5W x 2 , Dolby Audio Stereo Speakers",SSD,,Processing & Multitasking,,64,,No,Thin and Light Laptop,"1 x USB 2.0, 2 x USB 3.2 Gen 1",,Onsite,2 Years Warranty,720p Webcam with Privacy Shutter,1.7 Kg,"11ac, 2x2",
66.5-watt-hour Lithium‑Polymer Battery,,Yes,Upto 18 Hours,,v5.3,Apple MacBook Air Apple M3 - (16 GB/512 GB SSD/macOS Sonoma) MXD13HN/A,,,,,,Space Grey,,Manufacturing Defects,,,340.4 x 237.6 x 11.5 mm,Not Available,,1 Year,,,,,,,,NA,,,,,"Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos","Three-mic array with directional beamforming, Voice Isolation and Wide Spectrum microphone modes, Enhanced voice clarity in audio and video calls",,Backlit Magic Keyboard,,,No,,,MacBook Air,MXD13HN/A,,,Physical Damage,8,,macOS Sonoma,,,MXD13HN/A,Force Touch Trackpad,USB-C Power Adapter,"₹1,54,900",Apple,,M3,,16 GB,,Unified Memory,,,,,,,,Yes,512 GB,"MacBook Air, USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m)",2880 x 1864 Pixel,38.1 cm (15 Inch),"Liquid Retina display, LED-backlit Display with IPS Technology, Native Resolution at 224 pixels per inch, 500 nits Brightness",,MacBook Air,,"Six-speaker sound system with force-cancelling woofers, Support for Spatial Audio when playing music or video with Dolby Atmos on built-in speakers, Spatial Audio with dynamic head tracking when using AirPods (3rd generation), AirPods Pro and AirPods Max",Built-in Speakers,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"2 x Thunderbolt / USB 4 ports with support for Charging, DisplayPort, Thunderbolt 3 (up to 40 Gbps), USB 4 (up to 40 Gbps)",,Onsite,1 Year Onsite Warranty,1080p FaceTime HD camera,1.51 Kg,Wi-Fi 6E (802.11ax),
,,Yes,,3 Cell,v5.1,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7 - (16 GB/1 TB SSD/Windows 11 Home) TMP214-53 Thin and...,,,,,2.8 GHz with Turbo Boost Upto 4.7 GHz,Black,,Manufacturing Defects,,,328 x 236 x 19.9 mm,Not Available,,,,,,,,,,Intel Integrated Iris Xe,,,,,,Yes,,"87-/88-/91-key FineTip keyboard with Home, End, Pg Up, Pg Dn keys, international language support, power button",,,No,,,TMP214-53,TMP214-53,,,Physical damage,,,Windows 11 Home,,,UN.VTKSI.174,,,"₹99,000",Intel,11th Gen,Core i7,1165G7,16 GB,,DDR4,,,,,,,,Yes,1 TB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 X 1080 Pixel,35.56 cm (14 inch),Full HD,,TravelMate P2,,,Yes,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"2 x USB 3.2 ports, 1 x USB 3.2 Gen 1 port with power-off, 1 x USB Type-C/ Thunderbolt 4 port",,Onsite,1 Year Onsite Warranty,HD webcam,1.6 Kg,802.11a/b/g/n/acR2+ax wireless LAN,
,,,,,v5.3,ASUS Vivobook 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ540WS Thi...,,,,,1.3 GHz with Turbo Boost Upto 4.6 GHz,Cool Silver,,Manufacturing Defects,,,359.7 x 232.5 x 17.9 mm,Not Available,,,,,,,,,,Intel Integrated Iris Xe,,,,,,Yes,,Backlit Chiclet Keyboard,,,Yes,,,X1504VA-NJ540WS,X1504VA-NJ540WS,,,Physical Damage,,,Windows 11 Home,,,90NB14G2-M00020,,,"₹53,057",Intel,13th Gen,Core i5,1335U,16 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",,Vivobook 15,,,Yes,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",,Onsite,1 Year Onsite Warranty,720p HD camera With privacy shutter,1.70 Kg,Wi-Fi 6E(802.11ax) (Dual band) 1*1,
,,Yes,Upto 7.5 Hours,4 Cell Lithium Ion Battery,v5.3,SAMSUNG Galaxy Book4 Pro Evo AI PC Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) NP960X...,,24 MB,,Intel Core Ultra 5,Upto 4.5GHz,Moonstone Gray,,Manufacturer Defect Only,,,355.4 x 12.5 x 250.4mm,Not Available,,1 Year,,,Upto 32 GB,,No,Yes,,Intel Integrated Arc,,1 x HDMI,HDMI,,MS Office Home and Student 2021,Internal Digital Array MIC,,QWERTY,No,,Yes,,Yes,NP960XGK-KG1IN / NP960XGK-LG1IN,NP960XGK-KG1IN / NP960XGK-LG1IN,Yes,,Physical Damage,14,64 bit,Windows 11 Home,,,NP960XGK-KG1IN / NP960XGK-LG1IN,Touchpad with Multi Finger Gesture,65W AC Adapter,"₹1,26,990",Intel,,Core Ultra 5,125H,16 GB,7467 MHz,LPDDR5X,No,No,,,,,,Yes,512 GB,"1 Notebook, 1 65W Charger, 1 Data Cable(USB-C to C, 1.8m), 1 Quick Start Guide",2880 x 1800 Pixel,40.64 cm (16 inch),WQXGA+ Dynamic AMOLED 2X Display,Trusted Platform Module (TPM),Galaxy Book4 Pro Evo AI PC,Realtek High Definition Audio,Dolby Atmos and AKG Quad Speakers,"HD Audio Codec, Dolby Atmos, Realtek High Definition Audio, Discrete Stereo Speakers, AKG Quad Speakers",SSD,No,"Everyday Use, Entertainment, Performance, Processing & Multitasking",Windows 11 Home,64 bit,,Yes,Thin and Light Laptop,"2 x TBT4, 1 x USB Type A",No,Onsite,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,2 Megapixel,1.56 kg,802.11a/b/g/n/ac/ax,
,,Yes,,3 Cell,v5.0,HP 15s Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5112TU Thin and Light L...,,12,,,"1.3 GHz upto Max 4.4 GHz,",Silver,,Manufacturing Defects,,,358 x 242 x 17.9 mm,Not Available,,1 Year,,,,,,,,Intel Integrated Iris Xe,,1 x HDMI 1.4b,,,,Built-in Dual Array Digital Microphones,,"Full-size, backlit natural silver keyboard with numeric keypad",,,Yes,,Yes,15s-fq5112TU,15s-fq5112TU,,,Physical Damage,,64 bit,Windows 11 Home,,,6Q2M3PA#ACJ,,,"₹51,990",Intel,12th Gen,Core i5,1235U,16 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 inch),"Full HD, micro-edge, anti-glare, UWVA, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",,15s,,,Built-in Dual Speakers,SSD,,Processing & Multitasking,Windows 11 Home,,,No,Thin and Light Laptop,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",,Onsite,1 Year Onsite Warranty,HP True Vision 720p HD camera,1.69 Kg,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),
,,Yes,Upto 11.5 hours,3 cell,v5.1,Acer Aspire 7 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,,11,,,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,Black,,Manufacturing Defects,4 GB,GDDR6,363.4 x 254.5 x 22.9 mm,Not Available,,,,Gigabit Ethernet,,,,No,,NVIDIA GeForce GTX 1650,,1 x HDMI Port,,,"Acer Care Center, Acer Product Registration, Quick Access, Acer Care Center",Built-in Dual Microphone,1 Year,"103-/104-/107-key FineTip backlit keyboard with independent standard numeric keypad, international language support and power button",,,No,,Yes,A715-42G,A715-42G,,,Physical Damage,6,64 bit,Windows 11 Home,,,UN.QAYSI.006|NH.QAYSI.006,Touchpad with Multi-touch Gesture Support,,"₹59,500",AMD,,Ryzen 5 Hexa Core,5500U,16 GB,,DDR4,,Yes,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),"Full HD IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, 45% NTSC color gamut",,Aspire 7,,,Two built-in stereo speakers,SSD,,Gaming,Windows 11 Home 64-bit,,,No,Gaming Laptop,"1 x USB Type-C port, 2 x USB 3.2 Gen 1 port, 1 x USB 2.0 port",,Onsite,1 Year International Travelers Warranty (ITW),720p HD Webcam,2.15 kg,802.11a/b/g/n/acR2+ax wireless LAN,
